index,bin start,count
0,0.000,60112
1,228.227,0
2,456.453,0
3,684.680,0
4,912.906,0
5,1141.133,0
6,1369.359,0
7,1597.586,0
8,1825.812,0
9,2054.039,0
10,2282.266,0
11,2510.492,0
12,2738.719,0
13,2966.945,0
14,3195.172,0
15,3423.398,0
16,3651.625,0
17,3879.852,0
18,4108.078,1
19,4336.305,0
20,4564.531,0
21,4792.758,0
22,5020.984,0
23,5249.211,0
24,5477.438,0
25,5705.664,0
26,5933.891,0
27,6162.117,0
28,6390.344,0
29,6618.570,0
30,6846.797,0
31,7075.023,3
32,7303.250,0
33,7531.477,1
34,7759.703,2
35,7987.930,1
36,8216.156,1
37,8444.383,1
38,8672.609,1
39,8900.836,3
40,9129.062,3
41,9357.289,8
42,9585.516,5
43,9813.742,1
44,10041.969,5
45,10270.195,6
46,10498.422,6
47,10726.648,5
48,10954.875,8
49,11183.102,8
50,11411.328,8
51,11639.555,10
52,11867.781,9
53,12096.008,10
54,12324.234,11
55,12552.461,15
56,12780.688,12
57,13008.914,12
58,13237.141,16
59,13465.367,27
60,13693.594,30
61,13921.820,22
62,14150.047,32
63,14378.273,30
64,14606.500,39
65,14834.727,51
66,15062.953,56
67,15291.180,51
68,15519.406,61
69,15747.633,78
70,15975.859,70
71,16204.086,96
72,16432.312,108
73,16660.539,153
74,16888.766,162
75,17116.992,170
76,17345.219,210
77,17573.445,289
78,17801.672,304
79,18029.898,374
80,18258.125,442
81,18486.352,535
82,18714.578,662
83,18942.805,833
84,19171.031,953
85,19399.258,1129
86,19627.484,1406
87,19855.711,1681
88,20083.938,2006
89,20312.164,2454
90,20540.391,2857
91,20768.617,3313
92,20996.844,3928
93,21225.070,4341
94,21453.297,4824
95,21681.523,5285
96,21909.750,5808
97,22137.977,6365
98,22366.203,6502
99,22594.430,6867
100,22822.656,6991
101,23050.883,7014
102,23279.109,6894
103,23507.336,6998
104,23735.562,6431
105,23963.789,6210
106,24192.016,5793
107,24420.242,5272
108,24648.469,4711
109,24876.695,4141
110,25104.922,3802
111,25333.148,3263
112,25561.375,2802
113,25789.602,2277
114,26017.828,1973
115,26246.055,1691
116,26474.281,1352
117,26702.508,1077
118,26930.734,899
119,27158.961,748
120,27387.188,632
121,27615.414,497
122,27843.641,446
123,28071.867,372
124,28300.094,360
125,28528.320,308
126,28756.547,290
127,28984.773,279
128,29213.000,276
129,29441.227,262
130,29669.453,233
131,29897.680,218
132,30125.906,224
133,30354.133,203
134,30582.359,207
135,30810.586,214
136,31038.812,216
137,31267.039,203
138,31495.266,209
139,31723.492,208
140,31951.719,201
141,32179.945,205
142,32408.172,185
143,32636.398,178
144,32864.625,207
145,33092.852,218
146,33321.078,205
147,33549.305,203
148,33777.531,209
149,34005.758,217
150,34233.984,199
151,34462.211,234
152,34690.438,212
153,34918.664,243
154,35146.891,235
155,35375.117,254
156,35603.344,251
157,35831.570,243
158,36059.797,266
159,36288.023,276
160,36516.250,301
161,36744.477,300
162,36972.703,319
163,37200.930,359
164,37429.156,381
165,37657.383,416
166,37885.609,402
167,38113.836,460
168,38342.062,453
169,38570.289,513
170,38798.516,570
171,39026.742,590
172,39254.969,602
173,39483.195,630
174,39711.422,695
175,39939.648,692
176,40167.875,679
177,40396.102,704
178,40624.328,696
179,40852.555,730
180,41080.781,723
181,41309.008,687
182,41537.234,667
183,41765.461,705
184,41993.688,599
185,42221.914,605
186,42450.141,594
187,42678.367,531
188,42906.594,520
189,43134.820,462
190,43363.047,437
191,43591.273,405
192,43819.500,372
193,44047.727,352
194,44275.953,297
195,44504.180,324
196,44732.406,236
197,44960.633,222
198,45188.859,219
199,45417.086,193
200,45645.312,194
201,45873.539,147
202,46101.766,132
203,46329.992,135
204,46558.219,105
205,46786.445,105
206,47014.672,82
207,47242.898,69
208,47471.125,68
209,47699.352,45
210,47927.578,50
211,48155.805,48
212,48384.031,33
213,48612.258,21
214,48840.484,29
215,49068.711,35
216,49296.938,24
217,49525.164,17
218,49753.391,18
219,49981.617,12
220,50209.844,16
221,50438.070,11
222,50666.297,6
223,50894.523,6
224,51122.750,11
225,51350.977,7
226,51579.203,7
227,51807.430,4
228,52035.656,5
229,52263.883,3
230,52492.109,6
231,52720.336,4
232,52948.562,2
233,53176.789,1
234,53405.016,2
235,53633.242,2
236,53861.469,1
237,54089.695,3
238,54317.922,0
239,54546.148,0
240,54774.375,1
241,55002.602,1
242,55230.828,2
243,55459.055,0
244,55687.281,1
245,55915.508,0
246,56143.734,0
247,56371.961,1
248,56600.188,0
249,56828.414,0
250,57056.641,0
251,57284.867,0
252,57513.094,0
253,57741.320,0
254,57969.547,0
255,58197.773,1
